"PAYONE Credit Card","PAYONE Kreditkarte"
"Payone capturing was not successful.","Die PAYONE Abbuchung war nicht erfolgreich."
"Payone API failure. The request has not been processed.","PAYONE API-Fehler. Die Anfrage wurde nicht bearbeitet."
"Payone API connection error. The request has not been processed.","PAYONE API-Verbindungsfehler. Die Anfrage wurde nicht bearbeitet."
"Discount code","Rabatt Code"
"Payone Credit Rating Settings","PAYONE Bonitätsprüfung Einstellungen"
"Street updated: %s","Straße korrigiert: %s"
"ZIP updated: %s","PLZ korrigiert: %s"
"City updated: %s","Stadt korrigiert: %s"
"The address has been corrected.","Die Adresse wurde korrigiert."
"Country: %s","Land: %s"
"City: %s","Stadt: %s"
"ZIP: %s","PLZ: %s"
"Street: %s","Straße: %s"
"Is active","Aktiviert"
"Transaction Mode","Transaktionsmodus"
"Submit products","Produkte übermitteln"
"Credit rating inquiry type","Bonitätscheck-Typ"
"Address check type","Adresscheck-Typ"
"Minimal total to perform credit rating inquiry","Mindest Warenkorbwert für Bonitätsprüfung"
"Allowed ""YELLOW"" score for payment methods","Erlaubte Zahlungsmethoden bei Ergebnis ""GELB"""
"Allowed ""RED"" score for payment methods","Erlaubte Zahlungsmethoden bei Ergebnis ""ROT"""
"Store data","Informationen speichern"
"Life time of stored data (days)","Gültigkeit von gespeicherten Informationen (in Tagen)"
"Store additional data","Zusatzinformationen speichern"
"Test mode","Test-Betrieb"
"Live mode","Live-Betrieb"
"Only date","nur Datum"
"Date and score","Datum und Score"
"Disable address check","Adresscheck deaktivieren"
"Basic","Basis"
"Check address and personal data","Adresse und Personendaten überprüfen"
"Infoscore hard criteria","Infoscore (harte Kriterien)"
"Infoscore all criteria","Infoscore (alle Kriterien)"
"Infoscore all criteria with boni-score","Infoscore (alle Kriterien mit Boni-Score)"
"Please transfer %s to this bank account:","Bitte überweisen Sie %s an diese Bankverbindung:"
"Payee: %s","Empfänger: %s"
"Account number: %s","Kontonummer: %s"
"Bank sort code: %s","Bankleitzahl: %s"
"IBAN: %s","IBAN: %s"
"BIC: %s","BIC: %s"
"Bank: %s","Bank: %s"
"Payment reference: %s","Verwendungszweck: %s"
"Wrong request type.","Falsche Anfrage."
"IP can't be validated as PAYONE-IP.","IP kann nicht als PAYONE-IP validiert werden."
"Submitted data is empty.","Übermittelte Daten sind leer."
"Order ID not found.","Bestellnummer nicht gefunden."
"Security key does not match.","Sicherheitsschlüssel stimmt nicht überein."
"Use API","API verwenden"
"Enables account data input in the checkout. Requires PAYONE API access.","Aktiviert die Dateneingabe im Bestellprozess. PAYONE API-Zugriff wird benötigt."
"E-wallet session is initialized before redirect. Requires PAYONE API access.","E-wallet Sitzung wird vor der Weiterleitung initialisiert. PAYONE API-Zugriff wird benötigt."
"Display name","Name anzeigen"
"Display address","Adresse anzeigen"
"Credit card number doesn't match credit card type","Die Kreditkartennummer passt nicht zur Art der Kreditkarte"
"Card type doesn't match credit card number","Die Kreditkartennummer passt nicht zur Art der Kreditkarte"
"Account holder: %s","Kontoinhaber: %s"
"Bank code: %s","Bankleitzahl: %s"
"Account number: xxx%s","Kontonummer: xxx%s"
"Account holder","Kontoinhaber"
"Bank code","Bankleitzahl"
"Account number","Kontonummer"
"Address invalid - Please correct your Address","Adresse ungültig - Bitte korrigieren Sie Ihre Angaben"
"Debug level","Debug Level"
"Disabled","deaktiviert"
"Light","einfach"
"Full","ausführlich"
"Change credit card information","Kreditkarteninformationen ändern"
"The payment has been appointed by PAYONE.","Die Zahlungsforderung wurde von PAYONE bestätigt."
"The payment has been appointed by PAYONE. Invoice has been created.","Die Zahlungsforderung wurde von PAYONE bestätigt. Rechnung wurde erzeugt."
"Processed with PAYONE API","Verarbeitet mit PAYONE API"
"Unable to refund payment","Zahlung konnte nicht zurückerstattet werden"
"Impossible to issue a refund transaction, because capture transaction does not exist.","Die Zurückerstattung kann nicht durchgeführt werden, da keine Abbuchung bislang erfolgt ist."
"Balance: %s","Saldo: %s"
"Receivable: %s","Forderung: %s"
"Payment is less than order total.","Zahlung ist geringer als Bestellwert."
"Order has been paid.","Bestellung wurde bezahlt."
"Yes","Ja"
"No","Nein"
