"# of Use","Anzahl der Verwendungen"
"%1$s incl tax.","%1$s inkl. Steuern"
"%s - %s","%s - %s"
"%s Item(s)","%s Artikel"
"%s and above","%s und darüber"
"%s-%s of %s","%s-%s von %s"
"Catalog Product View (Simple)","Artikelansicht des Katalogs (vereinfacht)"
"Catalog Product View (Virtual)","Artikelansicht des Katalogs (virtuell)"
"Catalog Section","Katalogabschnitt"
"Catalog Seo Sitemap (Category List)","Suchmaschinen-Optimierungsindex des Katalogs (Kategorienliste)"
"Catalog Seo Sitemap (Category Tree)","Suchmaschinen-Optimierungsindex des Katalogs (Kategoriebaum)"
"Catalog Seo Sitemap (Common)","Suchmaschinen-Optimierungsindex des Katalogs (allgemein)"
"Catalog Seo Sitemap (Product List)","Suchmaschinen-Optimierungsindex des Katalogs (Artikelliste)"
"Catalog URL Rewrites","Umschreibung der Katalog-URL"
"Catalog product custom option values API","API für benutzerdefinierte Optionswerte für Katalogartikel"
"Catalog product custom options API","API für benutzerdefinierte Katalogartikel-Optionen"
"Catalog, Search","Katalog, Suche"
"Categories","Kategorien"
"Categories Sitemap","Kategorienindex"
"Category","Kategorie"
"Category API","Kategorien-Programmierschnittstelle"
"Category Data","Kategoriedaten"
"Category Flat Data","Flache Kategoriedaten"
"Category Link Block Template","Kategorie-Link, Blockvorlage"
"Category Link Inline Template","Kategorie-Link, Inlinevorlage"
"Category Products","Artikel der Kategorie"
"Category Top Navigation","Obere Kategorien-Navigationsleiste"
"Category URL Suffix","Kategorie, URL-Suffix"
"Category attributes API","Kategorie-Merkmale, Programmierschnittstelle"
"Category move error","Kategorie-Bewegungsfehler"
"Category move error %s","Kategorieverschiebungsfehler %s"
"Category move operation is not possible: parent category is equal to child category.","Verschieben der Kategorie ist nicht möglich: Der übergeordnete Ordner gleicht dem untergeordneten."
"Category move operation is not possible: the current category was not found.","Verschieben der Kategorie ist nicht möglich: Die aktuelle Kategorie wurde nicht gefunden."
"Category move operation is not possible: the new parent category was not found.","Kategorie-Verschiebevorgang nicht möglich: die neue Position in der Baumstruktur konnte nicht gefunden werden."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorie muss eine Instanz von Mage_Catalog_Model_Category sein."
"Center","Mitte"
"Change","Ändern"
"Change or Retrieve attribute store view","Ändern und Wiederfinden der Speicheransicht der Eigenschaften"
"Change status","Status ändern"
"Check items to add to the cart or","Artikel überprüfen, um sie dem Warenkorb zuzufügen oder"
"Choose an Option...","Eine Option auswählen..."
"Clear All","Alle löschen"
"Clear Price","Preis löschen"
"Click for price","Klicken für den Preis"
"Close Window","Fenster Schließen"
"Collapse All","Alle einklappen"
"Comma-separated.","Komma-getrennt."
"Comparable","Vergleichbar"
"Comparable on Front-end","Vergleichbar am Frontend"
"Comparable on the Frontend","Vergleichbar am Frontend"
"Compare","Vergleichen"
"Compare Products","Artikel vergleichen"
"Conditions Combination","Bedingungenkombination"
"Configurable Product","Konfigurierbare Artikel"
"Configurable Product Settings","Konfigurierbare Artikeleinstellungen"
"Configure Product","Artikel konfigurieren"
"Continue","Fortsetzen"
"Copy From Configurable","Aus konfigurierbaren Artikeleinstellungen kopieren"
"Country/State","Land/Staat"
"Country of Manufacture","Herstellungsland"
"Create","Erstellen"
"Create (Upload)","Erstellen (hochladen)"
"Create Empty","Leere Datei erstellen"
"Create Permanent Redirect for URLs if URL Key Changed","Permanente Weiterleitung für URLs erstellen, wenn der URL-Schlüssel geändert wird"
"Create Permanent Redirect for old URL","Andauernde Umleitung für alte URL erstellen"
"Create Product Settings","Artikeleinstellungen erstellen"
"Create Simple Associated Product","Erstellen eines einfachen dazugehörigen Artikels"
"Create attribute set based on another set","Attribute-Set aus einem anderen Set erstellen"
"Create new attribute","Neues Attribut erstellen"
"Create new category","Neue Kategorie erstellen"
"Create new product","Neuen Artikel erstellen"
"Cross-sells","Querverkäufe"
"Currently Shopping by:","Derzeit einkaufend bei:"
"Custom Design","Eigene Gestaltung"
"Custom Options","Kundenoptionen"
"Custom options","Benutzerdefinierte Optionen"
"Customer Group","Kundengruppe"
"Customers Reviews","Kundenbeurteilungen"
"Customers Tagged Product","Artikel vom Kunden markiert"
"Data Type for Saving in Database","Datentyp für das Speichern in Datenbank"
"Date & Time Custom Options","Benutzerdefinierten Optionen bezüglich Datum und Uhrzeit"
"Date Fields Order","Feldbefehl Datum"
"Date Subscribed","Anmeldedatum"
"Datetime","Datetime"
"Decimal","Dezimal"
"Declare attribute value saving scope","Definiere Attribut ""Wertsparender Spielraum"""
"Default ""What's This"" Text Message","""Was ist das""-Standard-Textmitteilung"
"Default Popup Text Message","Standard-Popup-Textmitteilung"
"Default Price","Vorgegebener Preis"
"Default Price Navigation Step","Navigationsschritt vorgegebener Preis"
"Default Qty","Standardanzahl"
"Default Values","Standardwerte"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Definiert den voreingestellten Gültigkeitsbereich (""Einstellen der Währung"" > ""Währungsoptionen"" > ""Basiswährung"")."
"Delete","Löschen"
"Delete Attribute","Artikeleigenschaft löschen"
"Delete Attribute Set","Eigenschaftensatz löschen"
"Delete Category","Kategorie löschen"
"Delete Group Price","Gruppenpreis löschen"
"Delete Option","Option löschen"
"Delete Row","Reihe löschen"
"Delete Search","Suche löschen"
"Delete Selected Group","Ausgewählte Gruppe löschen"
"Delete Tier","Preisstaffel löschen"
"Delete attribute","Artikeleigenschaft löschen"
"Delete category","Kategorie entfernen"
"Delete product","Artikel löschen"
"Depends on design theme","abhängig vom Gestaltungsthema"
"Design","Gestaltung"
"Details","Details"
"Disabled","Deaktiviert"
"Disallowed file type.","Nicht erlaubter Dateityp"
"Display Actual Price","Tatsächlichen Preis anzeigen"
"Display Page Control","Seitensteuerung anzeigen"
"Display Price Interval as One Price","Preisintervall als einen Preis anzeigen"
"Display Product Count","Artikelanzahl anzeigen"
"Display Product Options In","Artikeloptionen anzeigen in"
"Display Settings","Anzeigesteuerung"
"Display Type","Typ anzeigen"
"Display in Suggested Terms","Anzeige laut vorgeschlagener Nutzungsbedingungen"
"Double click on a group to rename it","Doppel-Klick auf eine Gruppe, um sie umzubenennen"
"Double click on above image to view full picture","Doppel-Klick auf das obige Abbild, um Vollbild anzuzeigen"
"Downloadable Information","Informationen zum Herunterladen"
"Duplicate","duplizieren"
"Duplicate amount found.","Dupliziere die gefundene Menge (Summe)."
"Duplicate website group price customer group.","Webseite Gruppenpreis Kundengruppe duplizieren."
"Duplicate website tier price customer group and quantity.","Preisstruktur, Kundengruppe und Menge duplizieren."
"Duplicate website, country and state tax found.","Dupliziere die gefundene Webseite, Land und Gebühr."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Zum Beispiel {{media url=""pfad/zum/bild.jpg""}} {{skin url=""pfad/zum/bild.gif""}}. Dynamische Pfade haben negative Auswirkungen auf die Katalog-Performance."
"Edit","Bearbeiten"
"Edit Attribute Set '%s'","Eigenschaftensatz '%s' bearbeiten"
"Edit Product Attribute","Artikeleigenschaften bearbeiten"
"Edit Product Attribute ""%s""","Artikeleigenschaft ""%s"" bearbeiten"
"Edit Search","Suche bearbeiten"
"Edit Search '%s'","Suche '%s' bearbeiten"
"Edit Set Name","Name bearbeiten einstellen"
"Email","eMail"
"Email to a Friend","eMail an einen Freund"
"Empty","Leer"
"Enable MAP","MAP aktivieren"
"Enable Qty Increments","Verpackungseinheiten verwenden"
"Enable WYSIWYG","WYSIWYG aktivieren"
"Enable for reindexing a big number of SKUs.","Aktivieren Sie eine große Anzahl von SKUs für die Neuindizierung."
"Enabled","Aktiviert"
"Error during retrieval of option value: %s","Fehler bei Abfragen von Optionswert: %s"
"Exclude","Auschließen"
"Expand All","Alle erweitern"
"Failed","Fehlgeschlagen"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Datei %s ließ sich nicht kopieren. Bitte löschen sie die Medien mit fehlenden Bildern und versuchen sie es erneut."
"Failed to move file: %s","Datei konnte nicht verschoben werden: %s"
"Feature Products","Artikel anbieten"
"Field is not complete","Feld ist nicht vollständig"
"File options format is not valid.","Dateioptionsformat ist nicht gültig."
"File upload failed","Dateiupload fehlgeschlagen"
"Filter","Filter"
"Filter model name must be declared.","Filtermodulname muss angegeben werden."
"Filter must be an object. Please set correct filter.","Filter muss ein Objekt sein. Stellen Sie bitte den korrekten Filter ein."
"Filterable (no results)","Filterbar (keine Ergebnisse)"
"Filterable (with results)","Filterbar (mit Ergebnissen)"
"First Name","Vorname"
"Fixed","Fix"
"For internal use.","Für interne Verwendung"
"For the last time placed.","Letzte Bestellung aufgegeben am"
"Frontend","Frontend-Oberfläche"
"Frontend Model","Frontend-Modell"
"Frontend Properties","Frontend-Eigenschaften"
"Gallery","Galerie"
"General Information","Allgemeine Information"
"Get full information about attribute with list of options","Vollständige Angaben zum Attribut mit Liste möglicher Optionen einblenden"
"Get full information about custom option in product","Vollständige Informationen über die benutzerdefinierten Artikeloptionen abrufen"
"Get list of available custom option types","Liste der verfügbaren benutzerdefinierten Optionstypen abrufen"
"Get list of non-default attributes by product type and attributes set","Liste nicht-standardmäßiger Attribute nach Art und Attributsatz einblenden"
"Get list of possible attribute types","Liste möglicher Attributtypen abrufen"
"Get special price","Angebote"
"Global","Global"
"Globally Editable","Global bearbeitbar"
"Go to Home Page","Zur Startseite gehen"
"Grid","Raster"
"Group add","Gruppe hinzufügen"
"Group remove","Gruppe entfernen"
"Group Price","Preis nach Kundengruppe"
"Grouped Product","Gruppierte Artikel"
"Groups","Gruppen"
"Home","Startseite"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Falls leer, wird der Kategoriename verwendet"
"If empty, the Product Name will be used","Wenn nicht ausgefüllt, wird der Artikelname genutzt"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Wenn Sie keinen Optionswert für eine spezifische Ladenansicht festlegen wird der Standard (Admin) Wert verwendet."
"Image","Bild"
"Image content is not valid base64 data.","Bildinhalt ist keine gültige base64 Datei."
"Image does not exist.","Bild existiert nicht"
"Image file was not found.","Bilddatei wurde nicht gefunden."
"Image type and information need to be specified for each store view.","Bildtyp und Informationen müssen für jede Ladenansicht festgelegt werden."
"In Cart","Im Warenkorb"
"In Stock","Auf Lager"
"In stock","Auf Lager"
"Incl. Tax","Mit Mwst."
"Index product and categories URL rewrites","Index Artikel und Kategorien URL Neuschreibungen"
"Index product attributes for layered navigation building","Artikelattribute für einen mehrstufigen Navigationsaufbau indizieren"
"Index product prices","Index Artikelpreise"
"Indexed category/products association","Indizierte Kategorie/Produkassoziierung"
"Info","Informationen"
"Info Column Options Wrapper","Deckblatt Optionen für Infospalte"
"Input Type","Eingabetyp"
"Integer","Integer"
"Interval Division Limit","Internes Teilungslimit"
"Invalid Tier Prices","Ungültige Staffelpreise"
"Invalid attribute %s","Ungültiges Attribut %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ungültige Option für Attribut %s definiert (%s), Eintrag wird übersprungen."
"Invalid attribute set specified, skipping the record.","Ungültige Merkmale angegeben, Aufzeichnung wird übersprungen."
"Invalid block: %s.","Ungültiger Block: %s."
"Invalid category IDs.","Ungültige KategorieIDs."
"Invalid category.","Ungültige Kategorie"
"Invalid image file type.","Ungültiger Bilddateityp."
"Invalid image type.","Ungültige Bildart."
"Invalid option ID specified for %s (%s), skipping the record.","Ungültige OptionsID für %s (%s) festgelegt, wird übersprungen."
"Invalid product type specified, skipping the record.","Ungültiger Artikeltyp ausgewählt, Aufzeichnung wird übersprungen."
"Invalid store specified","Ungültiger Store definiert"
"Invalid store specified, skipping the record.","Ungültiger Store definiert, Eintrag wird übersprungen."
"Invalid tier prices. The product is not associated to the requested website.","Ungültige Preisebene. Der Artikel ist nicht mit der angeforderten Webseite verbunden."
"Inventory","Lagerverwaltung"
"Is Default","Als Standard"
"Is Required","Ist erforderlich"
"Items %s to %s of %s total","Artikel %s auf %s von %s gesamt"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Gegenstände die im Katalog oder den Suchergebnissen nicht erscheinen sollen, sollten den Status ""Deaktiviert"" im gewünschten Laden haben."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikel, die nicht in den Suchergebnissen oder im Katalog angezeigt werden sollen, sollten den Status 'Deaktiviert' im gewünschten Laden haben."
"Keep your eyes open for our special Back to School items and save A LOT!","Halten Sie die Augen offen für unsere speziellen Angebote zum Schulanfang und sparen Sie VIEL GELD!"
"Label","Label"
"Last Name","Letzter Name"
"Last Notification","Letzte Benachrichtigung"
"Layered Navigation","Mehrstufige Navigation"
"Learn More","mehr dazu"
"Line %d, Email: %s","Zeile %d, Email: %s"
"Line %d, SKU: %s","Zeile %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Link (Verknüpft, Angebot, Mehrfachangebot)"
"Link product does not exist.","Verknüpfter Artikel existiert nicht."
"Link to a Specified Category","Link zur angegebenen Kategorie"
"Link to a Specified Product","Link zum angegebenen Artikel"
"List","Liste"
"List Mode","Listenmodus"
"List of Products that are set as New","Liste von Artikeln, die als neu klassifiziert sind"
"List of types","Artenliste"
"Manage Attribute Sets","Attributsets verwalten"
"Manage Attributes","Attribute verwalten"
"Manage Catalog Categories","Katalogkategorien verwalten"
"Manage Categories","Kategorien verwalten"
"Manage Label / Options","Bezeichnungen/Optionen verwalten"
"Manage Options (values of your attribute)","Optionen (Werte Ihrer Attribute) verwalten"
"Manage Product Attributes","Artikelattribute verwalten"
"Manage Product Sets","Artikelsets verwalten"
"Manage Products","Artikel verwalten"
"Manage Stock","Lagerbestand verwalten"
"Manage Titles (Size, Color, etc.)","Titel verwalten (Größe, Farbe, etc.)"
"Manufacturer's Suggested Retail Price","Unverbindlicher Verkaufspreis (UVP)"
"Max Characters","Maximale Anzahl Zeichen"
"Maximal Depth","Maximale Tiefe"
"Maximum Image Size","Maximale Bildgröße"
"Maximum Number of Price Intervals","Maximale Anzahl an Preisintervallen"
"Maximum Qty Allowed in Shopping Cart","Höchstbestellmenge"
"Maximum allowed image size for '%s' is %sx%s px.","Maximal erlaubte Bildgröße für '%s' ist %sx%s px."
"Maximum image height","Maximale Bildhöhe"
"Maximum image width","Maximale Bildbreite"
"Maximum number of characters:","Maximale Anzahl Zeichen:"
"Maximum number of price intervals is 100","Die maximale Anzahl an Preisintervallen ist 100."
"Media Image","Bild"
"Minimum Advertised Price","Beworbener Mindestpreis"
"Minimum Lines per Page","Minimale Zeilenanzahl pro Seite"
"Minimum Qty Allowed in Shopping Cart","Mindestbestellmenge"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimale Stückzahl für Nicht auf Lager-Status"
"Missing SKU, skipping the record.","Artikelnummer fehlt, Eintrag übersprungen."
"More Views","Mehr Ansichten"
"Move","Verschieben"
"Move category in tree","Kategorie in Verzeichnis verschieben"
"Multi update product","Artikel mit Mehrfach-Aktualisierung"
"Must be in the allowed values list.","Muss in der Liste erlaubter Werte enthalten sein."
"My Account","Mein Konto"
"N/A","Keine Angabe"
"Name","Name"
"Name in %s","Name in %s"
"New Product","Neuer Artikel"
"New Product Attribute","Neues Artikelattribut"
"New Products","Neue Artikel"
"New Products Grid Template","Neue Artikel-Raster-Vorlage"
"New Products List Template","Neue Artikel-Listen-Vorlage"
"New Root Category","Neue Wurzelkategorie"
"New Search","Neue Suchabfrage"
"New Set Name","Neuer Setname"
"New Subcategory","Neue Unterkategorie"
"New products","Neue Artikel"
"Next","Weiter"
"No","Nein"
"No image","Kein Bild"
"No layout updates","Keine Aktualisierungen des Layouts"
"No options of this product are available.","Es sind keine Optionen dieses Artikels verfügbar."
"No product collections found.","Keine Artikelsammlungen gefunden."
"None","Keine"
"Not Visible Individually","Nicht individuell sichtbar"
"Notify Low Stock RSS","Lagerbestand RSS"
"Notify for Quantity Below","Hinweis bei Lagerbestand unter"
"Number of Products per Page","Anzahl der Artikel pro Seite"
"Number of Products to Display","Anzahl angezeigter Artikel"
"Number of Uses","Anzahl der Verwendungen"
"Number of results","Anzahl der Ergebnisse"
"Number of results (For the last time placed)","Anzahl der Ergebnisse (für die letzte platzierte Zeit)"
"OK","OK"
"OR","ODER"
"Old Price:","Alter Preis:"
"On Gesture","Bei Mausaktion"
"Option validation failed to add product to cart.","Überprüfung von Artikel-Optionen beim Hinzufügen zum Warenkorb fehlgeschlagen."
"Option values","Optionswerte"
"Option:","Option:"
"Options","Optionen"
"Options Control","Optionenkontrolle"
"Options is required","Optionen ist obligatorisch"
"Out of Stock","Ausverkauft"
"Out of stock","Ausverkauft"
"PM","Nachmittags"
"Page Title Separator","Trennzeichen im Seitentitel"
"Parent Category","Überkategorie"
"Pending","Ausstehend"
"Pending Reviews RSS","Ausstehende Kundenmeinungen RSS"
"Percentage","Prozentsatz"
"Please add rows to option.","Bitte Zeilen zur Option hinzufügen."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","ACHTUNG: Bei einem Klick auf die Zeile werden die Paketdaten geladen und überschreiben alle ungespeicherten Formulardaten."
"Please click on the Close Window button if it is not closed automatically.","Klicken Sie bitte auf die Schaltfläche Fenster Schließen, wenn dies nicht automatisch erfolgt."
"Please enter a new group name","Bitte geben Sie einen neuen Gruppennamen ein"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -&gt; <a href=""%s"">Index Management</a>","Bitte aktualisieren Sie ""Neufassungen der Katalog-URLs"" und ""Artikelattribute"" in der -&gt; <a href=""%s"">Indexverwaltung</a> des Systems"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Bitte aktualisieren sie ""Katalog-URL-Versionen"" und ""Artikeleigenschaften"" in System -> <a href=""%s"">Index Management</a>"
