"Contact Information","Kontaktdaten",
"Continue Shopping","Weiter einkaufen",
"Country","Land",
"Create","Anlegen",
"Create New Account Options","Optionen beim Erstellen eines Kundenkontos",
"Create New Customer Account","Kundenkonto anlegen",
"Create Order","Bestellung anlegen",
"Create an Account","Kundenkonto anlegen",
"Create customer","Kunde anlegen",
"Create customer address","Kundenadresse anlegen",
"Current Password","Aktuelles Passwort",
"Customer","Kunde",
"Customer API","Kunden-API",
"Customer Account Edit Form","Kundenkonto Bearbeitungsformular",
"Customer Account Login Form","Kundenkonto Anmeldeformular",
"Customer Account Logout Success","Kundenkonto Abmeldung erfolgreich",
"Customer Account Registration Form","Kundenkonto Registrierungsformular",
"Customer Addresses","Kundenanschrift",
"Customer Configuration","Kundenkonfiguration",
"Customer Forgot Password Form","Kunde - ""Passwort vergessen""-Formular",
"Customer Group","Kundengruppe",
"Customer Group was successfully deleted","Kundengruppe wurde gelöscht",
"Customer Group was successfully saved","Kundengruppe wurde gespeichert",
"Customer Groups","Kundengruppen",
"Customer Information","Kundeninformation",
"Customer Login","Kundenanmeldung",
"Customer My Account (All Pages)","Kunde Mein Benutzerkonto (alle Seiten)",
"Customer My Account Address Book","Kunde Mein Benutzerkonto Adressbuch",
"Customer My Account Address Edit Form","Kunde Mein Benutzerkonto Adress-Bearbeitungsformular",
"Customer My Account Dashboard","Kunde Mein Benutzerkonto Übersicht",
"Customer Since","Kunde seit",
"Customer View","Kundenansicht",
"Customer collection expected.","Kundensammlung erwartet",
"Customer email is required","Kunden-eMail-Adresse ist erforderlich",
"Customer email already exists","Diese eMail-Adresse besteht bereits.",
"Customer website ID must be specified when using the website scope","Kunden-Webseiten-Identifikation muss bei Nutzung der Seite angegeben werden.",
"Customer will stay on the current page if ""No"" is selected.","Kunden werden auf der derzeitigen Seite bleiben, wenn ""Nein"" ausgewählt ist.",
"Customers","Kunden",
"Customers Only","Nur für Kunden",
"Customers Section","Kundenbereich",
"DD","DD",
"Date","Datum",
"Date Added","Hinzugefügt am",
"Date of Birth","Geburtstag",
"Date of Birth is required.","Geburtstag ist erforderlich.",
"Day","Tag",
"Days in Wishlist","Tage auf dem Wunschzettel",
"Default Addresses","Adressen (voreingestellt)",
"Default Billing Address","Rechnungsadresse (voreingestellt)",
"Default Email Domain","eMail-Domain (voreingestellt)",
"Default Group","Gruppe (voreingestellt)",
"Default Shipping Address","Versandadresse (voreingestellt)",
"Default Value for Disable Automatic Group Changes Based on VAT ID","Standardwert für ""Automatische Änderung der Kundengruppe nach USt-IdNr. Prüfung deaktivieren""",
"Default Welcome Email","Willkommensnachricht (voreingestellt)",
"Delete","Löschen",
"Delete Address","Adresse löschen",
"Delete Customer","Kunden löschen",
"Delete Customer Group","Kundengruppe löschen",
"Delete customer","Kunde löschen",
"Delete customer address","Kundenadresse löschen",
"Deleted Stores","Gelöschte Läden",
"Details","Details",
"Disabled","Deaktiviert",
"Edit","Bearbeiten",
"Edit Account Info","Benutzerkonto bearbeiten",
"Edit Account Information","Benutzerkonto bearbeiten",
"Edit Address","Adresse bearbeiten",
"Edit Address Entry","Adresseintrag bearbeiten",
"Edit Customer Group ""%s""","Kundengruppe ""%s"" bearbeiten",
"Edit Customer Groups","Kundengruppen bearbeiten",
"Edit Customer's Address","Kundenanschrift bearbeiten",
"Edit Group","Gruppe bearbeiten",
"Edit Newsletter Subscription","Newsletter-Abonnement bearbeiten","+"
"Edit Newsletters","Newsletter bearbeiten",
"Edit Personal Information","Personenbezogene Informationen bearbeiten","+"
"Email","eMail",
"Email Address","eMail-Adresse",
"Email Sender","eMail-Absender",
"Email:","eMail:",
"Enable Automatic Assignment to Customer Group","Automatische Zuordnung zur Kundengruppe aktivieren",
"Entity collection is expected.","Entität-Collection wird erwartet.",
"Error during retrieval of option value: %s","Fehler beim Abfragen des Optionswertes: %s","+"
"Excel XML","Excel-XML","-"
"Ext. Price","Gesamtpreis (Stückpreis x Menge)","+"
"Failed to confirm customer account.","Bestätigung des Kundenkontos fehlgeschlagen.",
"Fax","Fax",
"First Name","Vorname",
"Forgot Email Template","Passwort vergessen - Vorlage",
"Forgot Password","Passwort vergessen",
"Forgot Your Password","Passwort vergessen",
"Forgot Your Password?","Passwort vergessen?",
"Forgot and Remind Email Sender","Erinnerungs-eMail Absender",
"Form Fields Before","Formularfelder davor",
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Von Ihrer Benutzerkonto-Übersicht aus, können Sie Ihre jüngsten Kontenaktivität einsehen und Ihre Kontendaten bearbeiten. Wählen Sie dazu einen der nachstehenden Links, um die Informationen zu sehen oder zu bearbeiten.",
"Gender","Geschlecht",
"Gender is required.","Das Geschlecht muss angegeben werden.",
"General Subscription","Allgemeines Abonnement",
"Generate Human-Friendly Customer ID","Generiere leichtlesbare Kunden-ID",
"Global","Global",
"Group","Gruppe",
"Group Information","Guppeninformation",
"Group Name","Guppenname",
"Group for Invalid VAT ID","Gruppe für ungültige Umsatzsteuer-Identifikationsnummer",
"Group for Valid VAT ID - Domestic","Gruppe für gültige Umsatzsteuer-Identifikationsnummer - Inland",
"Group for Valid VAT ID - Intra-Union","Gruppe für gültige Umsatzsteuer-Identifikationsnummer - innerhalb der EU",
"Guest","Gast",
"HTML","HTML",
"Hello, %s!","Hallo, %s!",
"ID","ID",
"IP Address","IP-Adresse",
"If you believe this is an error, please contact us at %s","Sollte ihrer Meinung nach ein Fehler vorliegen, wenden Sie sich bitte an uns unter %s.",
"If you have an account with us, please log in.","Wenn Sie bei uns ein Kundenkonto besitzen, melden Sie sich bitte an.",
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Eine ungültige Option für Attribut %s wurde definiert (%s). Der Eintrag wird übersprungen.",
"Invalid attribute set specified, skipping the record.","Ein ungültiges Attributset wurde definiert. Der Eintrag wird übersprungen.",
"Invalid billing address for (%s)","Ungültige Rechnungsanschrift für (%s)",
"Invalid current password","Das aktuelle Passwort ist ungültig",
"Invalid customer data","Ungültige Kundendaten",
"Invalid email address ""%s"".","Ungültige eMail-Adresse ""%s"".",
"Invalid email address.","Ungültige eMail-Adresse.",
"Invalid login or password.","Fehlerhafter Anmeldename oder Passwort.",
"Invalid password reset token.","Ungültiger Token für das Zurücksetzen des Passworts.",
"Invalid shipping address for (%s)","Ungültige Versandanschrift für (%s)",
"Invalid store specified, skipping the record.","Ungültiger Laden angegeben, Eintrag wird übersprungen.",
"Invalid website, skipping the record, line: %s","Ungültige Webseite, Eintrag in Zeile %s wird übersprungen.",
"Last Activity","Letzte Aktivität",
"Last Date Subscribed","Zuletzt abonniert",
"Last Date Unsubscribed","Zuletzt abbestellt",
"Last Name","Nachname",
"Last URL","Letzte URL",
"Leave empty for default (15 minutes).","Für Standard (15 Minuten) leer lassen.",
"Leave empty for default (2). Valid range: 1-4","Für Standard (2) leer lassen. Gültige Werte: 1-4",
"Lifetime Sales","Gesamteinnahmen",
"Log In","Anmelden",
"Log Out","Abmelden",
"Login","Einloggen",
"Login Information","Anmeldedaten",
"Login Options","Login/Anmelde-Optionen",
"Login and password are required.","Benutzername und Passwort sind erforderlich.",
"Login or Create an Account","Anmelden oder Kundenkonto erstellen",
"MM","MM",
"Manage Addresses","Adressen verwalten",
"Manage Customers","Kunden verwalten",
"Maximum length must be less then %s symbols","Maximale Länge darf nicht mehr als %s Zeichen betragen.",
"Missing email, skipping the record, line: %s","eMail fehlt, Eintrag in Zeile %s wird übersprungen.",
"Missing email, skipping the record.","eMail fehlt, Eintrag wird übersprungen.",
"Missing first name, skipping the record, line: %s","Vorname fehlt, Eintrag in Zeile %s wird übersprungen.",
"Missing firstname, skipping the record.","Vorname fehlt, Eintrag wird übersprungen.",
"Missing last name, skipping the record, line: %s","Nachname fehlt, Eintrag in Zeile %s wird übersprungen.",
"Missing lastname, skipping the record.","Nachname fehlt, Eintrag wird übersprungen.",
"Missing website, skipping the record, line: %s","Webseite fehlt, Eintrag in Zeile %s wird übersprungen.",
"Month","Monat",
"My Account","Mein Konto",
"My Account Wrapper","Mein Konto-Umschlag",
"My Dashboard","Meine Übersicht",
"My Orders","Meine Bestellungen",
"My Reviews","Meine Artikelbewertungen",
"My Tags","Meine Schlagworte",
"My Wishlist","Mein Wunschzettel",
"Name","Name",
"Name and Address Options","Namen- und Adressoptionen",
"Never","Niemals",
"New Address","Neue Adresse",
"New Address Entry","Neuer Adresseintrag",
"New Customer","Neuer Kunde",
"New Customer Address","Neue Kundenadresse",
"New Customer Group","Neue Kundengruppe",
"New Customer Groups","Neue Kundengruppen",
"New Customers","Neue Kunden",
"New Group","Neue Gruppe",
"New Password","Neues Passwort",
"New account","Neues Konto",
"New account confirmation key","Neuer Kontobestätigungskode",
"New account confirmed","Neues Konto bestätigt",
"New password field cannot be empty.","Das Feld für das neue Passwort darf nicht leer sein.",
"Newsletter","Newsletter",
"Newsletter Finish","Newsletter Ende",
"Newsletter Information","Newsletter Information",
"Newsletter Received","Newsletter empfangen",
"Newsletter Start","Newsletter Start",
"Newsletter Subscription","Newsletter abonnieren",
"Newsletters","Newsletter",
"No Items Found","Kein Element gefunden",
"No Newsletter Found","Kein Newsletter gefunden",
"No customer collections found","Keine Kundensammlungen gefunden.",
"No item specified.","Kein Objekt angegeben.",
"Not Sent","Nicht gesendet",
"Not confirmed, can login","Nicht bestätigt, kann sich anmelden",
"Not confirmed, cannot login","Nicht bestätigt, kann sich nicht anmelden",
"Number of Lines in a Street Address ","Zeilenzahl in einer Postadresse",
"Offline","Offline",
"Online","Online",
"Online Customers","Kunden online",
"Online Customers Options","Kunden online Optionen",
"Online Minutes Interval","Online-Minuten-Intervall",
"Order #","Bestellung Nr.",
"Order Total","Gesamtsumme Bestellung",
"Orders","Bestellungen",
"PDF","PDF",
"Password","Passwort",
"Password Management","Passwort-Verwaltung",
"Password Options","Passwort-Optionen",
"Password forgotten","Passwort vergessen",
"Password:","Passwort:",
"Paused","Pausiert",
"Pending","Ausstehend",
"Per Website","Pro Webseite",
"Personal Information","Persönliche Informationen",
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl 1 oder größer in dieses Feld ein.",
"Please enter a valid date between %s and %s at %s.","Bitte geben Sie ein gültiges Datum zwischen dem %s und %s bei %s an.",
"Please enter a valid date equal to or greater than %s at %s.","Bitte geben Sie ein gültiges Datum am oder nach dem %s bei %s an.",
"Please enter a valid date less than or equal to %s at %s.","Bitte geben Sie ein gültiges Datum am oder vor dem %s bei %s an.",
"Please enter the city.","Bitte geben Sie die Stadt an.",
"Please enter the country.","Bitte geben Sie das Land an.",
"Please enter the first name.","Bitte geben Sie den Vornamen an.",
"Please enter the last name.","Bitte geben Sie den Nachnamen an.",
"Please enter the state/province.","Bitte geben Sie das Bundesland an.",
"Please enter the street.","Bitte geben Sie die Straße an.",
"Please enter the telephone number.","Bitte geben Sie die Telefonnummer an.",
"Please enter the zip/postal code.","Bitte geben Sie die Postleitzahl an.",
"Please enter your email address below. You will receive a link to reset your password.","Bitte geben Sie Ihre eMail-Adresse ein. Sie erhalten dann einen Link, mit dem Sie Ihr Passwort zurücksetzen können.",
"Please enter your email below and we\'ll send you confirmation link for it.","Bitte geben Sie unten Ihre eMail-Adresse ein, und wir senden Ihnen einen Bestätigungslink.",
"Please enter your email.","Bitte geben Sie Ihre eMail-Adresse ein.",
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass die Passwörter übereinstimmen.",
"Please select a website which contains store view","Bitte wählen Sie eine Webseite, die eine Ladenansicht enthält",
"Please select region, state or province","Bitte wählen Sie Region, Land oder Bundesland",
"Please, check your email for confirmation key.","Bitte überprüfen Sie Ihr ePostfach auf die eMail mit dem Bestätigungslink. Bitte sehen Sie gegebenenfalls auch in den Spam-Ordner!",
"Prefix Dropdown Options","Optionen für Prefix-Aufklappmenü",
"Price","Preis",
"Product","Artikel",
"Product ID","Artikel ID",
"Product Name","Artikel Name",
"Product Reviews","Artikel Kundenbewertung",
"Product Tags","Artikel Schlagworte",
"Purchase On","Gekauft am",
"Purchased On","Gekauft am",
"Qty","Menge",
"Recent Orders","Letzte Bestellungen",
"Records for %s store found.","Einträge für %s Laden gefunden.",
"Recovery Link Expiration Period (days)","Verbleibende Gültigkeitsdauer des Wiederherstellungslinks (in Tagen)",
"Redirect Customer to Account Dashboard after Logging in","Nach dem Login den Kunden zur Konto-Übersicht umleiten",
"Refunded","Rückerstattet",
"Register","Registrieren",
"Registered Customers","Registrierte Kunden",
"Remind Email Template","Vorlage für Erinnerungs-eMail",
"Remind Password","Passwort Erinnerung",
"Remove","Entfernen",
"Require Emails Confirmation","eMail-Bestätigung anfordern",
"Reset a Password","Passwort zurücksetzen",
"Retrieve address data","Adressdaten abfragen",
"Retrieve address info","Adressinformationen abfragen",
"Retrieve customer addresses","Kundenadressen abfragen",
"Retrieve customer data","Kundendaten abfragen",
"Retrieve customer groups","Kundengruppen abfragen",
"Retrieve customer info","Kundeninfo abfragen",
"Retrieve customers","Kunden abfragen",
"Retrieve your confirmation link here","Fordern Sie Ihren Bestätigungslink hier an",
"Retrieve your password here","Fordern Sie Ihr Passwort hier an",
"SKU","Bestandseinheit (SKU)",
"Sales Statistics","Verkaufsstatistiken",
"Save","Speichern",
"Save Address","Adresse speichern",
"Save Customer","Kunden speichern",
"Save Customer Group","Kundengruppe speichern",
"Save Password","Passwort speichern",
"Save and Continue Edit","Speichern und weiter bearbeiten",
"Saved %d record(s)","%d gespeicherte Einträge",
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semikolon (;) getrennte Werte.<br/>Setzen Sie ein Semikolon an den Anfang für eine leere erste Option.<br/>Leer lassen für ein offenes Textfeld.",
"Send Auto-Generated Password","Automatisch generiertes Passwort zusenden",
"Send From","Senden von",
"Send Welcome Email","Willkommen eMail senden",
"Send Welcome Email after Confirmation","Willkommen eMail nach Bestätigung senden",
"Send confirmation link","Bestätigungslink senden",
"Sending","Wird gesendet",
"Sent","Gesendet",
"Session Start Time","Startzeit der Sitzung",
"Set as Default Billing Address","Als voreingestellte Rechnungsadresse verwenden",
"Set as Default Shipping Address","Als voreingestellte Versandadresse verwenden",
"Share Customer Accounts","Kundenkonten gemeinsam nutzen",
"Shipped to First Name","Versandt an - Vorname",
"Shipped to Last Name","Versandt an - Nachname",
"Shipped to Name","Versandt an - Name",
"Shopping Cart","Warenkorb",
"Shopping Cart - %d item(s)","Warenkorb - %d Posten",
"Shopping Cart of %1$s - %2$d item(s)","Warenkorb von %1$s - %2$d Posten",
"Show Date of Birth","Geburtsdatum anzeigen",
"Show Gender","Geschlecht anzeigen",
"Show Middle Name (initial)","Zweiten Vornamen anzeigen (Initialen)",
"Show Prefix","Präfix anzeigen",
"Show Suffix","Suffix anzeigen",
"Show Tax/VAT Number","Steuer/MwSt.-Nummer anzeigen",
"Show VAT Number on Frontend","Umsatzsteuer-Identifikationsnummer am Frontend anzeigen",
"Sign Up for Newsletter","Für Newsletter eintragen",
"Skipping import row, required field ""%s"" is not defined.","Importzeile übersprungen, Pflichtfeld ""%s"" nicht angegeben.",
"Skipping import row, website ""%s"" field does not exist.","Importzeile übersprungen, Feld für Webseite ""%s"" existiert nicht",
"State/Province","Bundestaat/Kanton/Bundesland",
"Status","Status",
"Store","Laden",
"Store View","Ladenansicht",
"Street Address","Straße",
"Street Address %s","Straße %s",
"Subject","Betreff",
"Submit","Absenden",
"Subscribe to Newsletter","Newsletter abonnieren",
"Subscribed to Newsletter?","Newletter abonniert?",
"Suffix Dropdown Options","Optionen für Suffix-Aufklappmenü",
"Tag Name","Schlagwortname",
"Tax Calculation Based On","Steuerberechnung basiert auf",
"Tax Class","Steuerklasse",
"Tax/VAT number","USt.-ID",
"Telephone","Telefon",
"Text","Text",
"Text One Line","Text einzeilig",
"Thank you for registering with %s.","Vielen Dank für Ihre Registrierung bei %s.",
"The Date of Birth is required.","Geburtstag ist Pflichtfeld.",
"The TAX/VAT number is required.","USt-IdNr. ist Pflichtfeld.",
"The VAT ID entered (%s) is not a valid VAT ID.","Die angegebene Umsatzsteuer-Identifikationsnummer (%s) ist nicht gültig.",
"The VAT ID entered (%s) is not a valid VAT ID. The customer would belong to Customer Group %s.","Die angegebene Umsatzsteuer-Identifikationsnummer (%s) ist nicht gültig. Der Kunde würde in Kundengruppe %s gehören.",
"The VAT ID is valid. The current Customer Group will be used.","Die Umsatzsteuer-Identifikationsnummer (%s) ist nicht gültig. Die aktuelle Kundengruppe wird angewandt.",
"The account information has been saved.","Die Informationen des Kundenkontos wurde gespeichert.",
"The address does not belong to this customer.","Diese Adresse gehört nicht zu diesem Kunden.",
"The address has been deleted.","Die Adresse wurde gelöscht.",
"The address has been saved.","Die Adresse wurde gespeichert.",
"The customer ID and email did not match, skipping the record, line: %s","Die Kundennummer und eMail-Adresse stimmten nicht überein. Der Eintrag in Zeile %s wird übersprungen.",
"The customer does not have default billing address.","Der Kunde hat keine Standard-Rechnungsanschrift.",
"The customer email (%s) already exists, skipping the record, line: %s","Die Kunden-eMail-Adresse (%s) existiert bereits. Der Eintrag in Zeile %s wird übersprungen.",
"The customer group has been deleted.","Die Kundengruppe wurde gelöscht.",
"The customer group has been saved.","Die Kundengruppe wurde gespeichert.",
"The customer is currently assigned to Customer Group %s.","Der Kunde ist derzeit der Kundengruppe %s zugeordnet.",
"The first name cannot be empty.","Der Vorname darf nicht leer sein.",
"The group ""%s"" cannot be deleted","Die Gruppe ""%s"" kann nicht gelöscht werden.",
"The last name cannot be empty.","Der Nachname darf nicht leer sein.",
"The minimum password length is %s","Die Mindestlänge des Passworts ist %s.",
"The password cannot be empty.","Das Passwort darf nicht leer sein.",
"The password must have at least 6 characters. Leading or trailing spaces will be ignored.","Das Passwort muss mindestens 6 Zeichen haben. Führende und folgende Leerzeichen werden ignoriert.",
"The suffix that goes after name (Jr., Sr., etc.)","Das Suffix nach dem Namen (Jr., Sr., usw.)",
"The title that goes before name (Mr., Mrs., etc.)","Die Anrede vor dem Namen (Hr., Fr., usw.)",
"There are no items in customer's shopping cart at the moment","Es gibt momentan keine Artikel im Kundenwarenkorb.",
"There are no items in customer's wishlist at the moment","Es gibt momentan keine Artikel auf dem Wunschzettel des Kunden.",
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%s"">click here</a> to get your password and access your account.","Es existiert bereits ein Kundenkonto mit dieser eMail-Adresse. Wenn Sie sicher sind, dass es Ihre eMail-Adresse ist, dann <a href=""%s"">klicken Sie hier</a>, um ein neues Passwort anzufordern und wieder Zugriff zu bekommen.",
"There was an error validating the VAT ID.","Bei der Überprüfung der Umsatzsteuer-Identifikationsnummer ist ein Fehler aufgetreten.",
"There was an error validating the VAT ID. The customer would belong to Customer Group %s.","Bei der Überprüfung der Umsatzsteuer-Identifikationsnummer trat ein Fehler auf. Der Kunde würde zu Kundengruppe %s gehören.",
"This account is not confirmed.","Dieses Benutzerkonto wurde nicht bestätigt.",
"This customer email already exists","Diese Kunden-eMail-Adresse existiert bereits.",
"This customer has no saved addresses.","Dieser Kunde besitzt keine gespeicherten Adressen.",
"This email does not require confirmation.","Diese eMail erfordert keine Bestätigung.",
"This email will be sent instead of default welcome email, after account confirmation.","Diese eMail wird anstelle der normalen Willkommensnachricht nach der Benutzerkonten-Bestätigung versandt.",
"This is My Default %s Address","Das ist meine Standardadresse %s.",
"To Cart","Zum Warenkorb",
"To show VAT number on frontend, set Show VAT Number on Frontend option to Yes.","Um die USt-IdNr. im Frontend anzuzeigen, stellen Sie bitte die Einstellung ""USt-IdNr. im Frontend anzeigen"" auf ""Ja"".",
"Total","Gesamtbetrag",
"Type","Art",
"Unable to save the customer.","Speichern von Kunde nicht möglich.",
"Unknown","Unbekannt",
"Unsubscribe from Newsletter","Vom Newsletter abmelden",
"Update","Aktualisieren",
"Update customer address data","Kundenadressdaten aktualisieren",
"Update customer data","Kundendaten aktualisieren",
"Use as My Default %s Address","Als meine Standard %s Adresse verwenden",
"Use as My Default Billing Address","Als meine Standard-Rechnungsanschrift verwenden",
"Use as My Default Shipping Address","Als meine Standard-Versandanschrift verwenden",
"Use as my default billing address","Als meine Standard-Rechnungsadresse verwenden",
"Use as my default shipping address","Als meine Standard-Versandadresse verwenden",
"VAT Number","Umsatzsteuernummer",
"VAT number","Umsatzsteuernummer",
"VAT Request Date","Anfordungsdatum der Umsatzsteuer",
"VAT Request Identifier","Anfragekennung für Umsatzsteuer",
"Validate VAT Number","Umsatzsteuer-Identifikationsnummer wird überprüft",
"Validate on Each Transaction","Bei jeder Transaktion prüfen",
"Validation Error Group","Überprüfungsfehler Gruppe",
"View","Ansicht",
"View Order","Bestellung ansehen",
"Visitor","Besucher",
"Visitors Only","Nur Besucher",
"Website","Website",
"Welcome Email","Willkommensnachricht",
"Wishlist","Wunschzettel",
"Wishlist - %d item(s)","Wunschzettel - %d Artikel",
"Would you like to change the Customer Group for this order?","Möchten sie die Kundengruppe für diese Bestellung ändern?",
"Wrong confirmation key.","Falscher Bestätigungsschlüssel.",
"Wrong customer account specified.","Falsches Benutzerkonto angegeben.",
"Wrong email.","Falsche eMail-Adresse angegeben.",
"Wrong transactional account email type","Falscher Transaktionskonto eMail-Typ",
"YYYY","JJJJ",
"Year","Jahr",
"You are currently not subscribed to any newsletter.","Sie sind momentan für keinen Newsletter angemeldet.",
"You are currently not subscribed to our newsletter.","Sie sind momentan nicht für unseren Newsletter angemeldet.",
"You are currently subscribed to 'General Subscription'.","Sie sind momentan für das Abo ""Allgemeines"" eingetragen.",
"You are currently subscribed to our newsletter.","Sie sind momentan für unseren Newsletter angemeldet.",
"You are now logged out","Sie sind jetzt abgemeldet",
"You have logged out and will be redirected to our homepage in 5 seconds.","Sie haben sich abgemeldet und werden in 5 Sekunden zur Startseite weitergeleitet.",
"You have no additional address entries in your address book.","Sie haben keine zusätzlichen Adresseinträge in Ihrem Adressbuch.",
"You have no additional entries in your address book.","Sie haben keine zusätzlichen Einträge in Ihrem Adressbuch.",
"You have no default billing address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Rechnungsadresse.",
"You have no default entries in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Einträge.",
"You have no default shipping address in your address book.","Sie haben in Ihrem Adressbuch keine Standard-Versandadresse.",
"You have not set a default billing address.","Sie haben keine Standard-Rechnungsadresse angegeben.",
"You have not set a default shipping address.","Sie haben keine Standard-Versandadresse angegeben.",
"You have placed no orders yet.","Sie haben noch keine Bestellung aufgegeben.",
"You have placed no products yet.","Sie haben noch keine Artikel ausgewählt.",
"You will be charged tax.","Die anfallenden Steuern werden Ihnen in Rechnung gestellt.",
"You will not be charged tax.","Die anfallenden Steuern werden Ihnen nicht in Rechnung gestellt.",
"Your Tax ID cannot be validated.","Ihre Umsatzsteuer-Identifikationsnummer konnte nicht überprüft werden.",
