"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Warenkorb Preisregeln basieren auf ""%s"" Attribut wurden deaktiviert."
"%s Coupon(s) have been generated","%s Rabattcode(s9 wurden erstellt"
"Actions","Aktionen"
"Subtotal","Zwischensumme"
"Subtotal Amount","Zwischensumme"
"The rule has been deleted.","Die Regel wurde gelöscht."
"The rule has been saved.","Die Regel wurde gespeichert."
"This rule no longer exists.","Diese Regel existiert nicht mehr."
"Times Used","Nutzung"
"To Date","bis zum"
"To Fixed Value","Auf einen festen Wert"
"To Percentage","Auf einen Prozentsatz"
"Total","Gesamt"
"Total Amount","Gesamtsumme"
"Total Items Quantity","Artikelgesamtmenge"
"Total Weight","Gesamtgewicht"
"Unable to create requested Coupon Qty. Please check settings and try again.","Die gewünschte Menge an Rabattcodes konnte nicht erstellt werden. Bitte prüfen Sie die Einstellungen und versuchen sie es erneut."
"Unable to find a rule to delete.","Keine Regel zum Löschen verfügbar."
"Update prices using the following information","Aktualisiere Preise mit folgende Information"
"Update product's %s %s: %s","Aktualisiere %s %s des Artikels: %s"
"Update the Product","Artikel aktualisieren"
"Use Auto Generation","Assistent zur Erstellung nutzen"
"Used","Benutzt"
"Uses per Coupon","Verwendungen pro Rabattcode"
"Uses per Customer","Verwendungen pro Kunde"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Falsche Regel festgelegt."
"Yes","Ja"
"total amount","Gesamtsumme"
"total quantity","Gesamtmenge"
