"-OR-","-ODER-"
"Issuer Liability","Issuer Liability"
"It is recommended to set this value to "Debit or Credit Card" per store views.","It is recommended to set this value to "Debit or Credit Card" per store views."
"It is recommended to set this value to "PayPal" per store views.","It is recommended to set this value to "PayPal" per store views."
"Items in Your Shopping Cart","Items in Your Shopping Cart"
"Last Correlation ID","Last Correlation ID"
"Last Transaction ID","Letzte Transaktions-ID"
"Learn More","Mehr erfahren"
"Login","Anmelden"
"Looking for PayPal? We have our own tab to the left under Sales.","Sie suchen nach PayPal? Wir haben unser eigenes Tab auf der linken Seite im Bereich "Verkäufe"."
"Mass Pay Payment","Mass Pay Payment"
"Matched (CVV2)","(CVV2) angeglichen"
"Matched (CVV2CSC)","(CVV2CSC) angeglichen"
"Matched Address only (no ZIP)","Nur Adresse angeglichen (keine Postleitzahl)"
"Matched Address only (no ZIP). International","Nur Adresse angeglichen (keine Postleitzahl). International"
"Matched Postal Code only (no Address)","Nur Postleitzahl angeglichen (keine Adresse)"
"Matched five-digit ZIP only (no Address)","Nur 5 stellige Postleizahl angeglichen (keine Adressen)"
"Matched whole nine-didgit ZIP (no Address)","Ganze 9 stellige Postleitzahl angeglichen (keine Adresse)"
"Merchant Account","Händler-Konto"
"Merchant Country","Händler-Land"
"Merchant Liability","Händler Belastung"
"Merchant Protection Eligibility","Händler Schutz-Berechtigung"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"Merchant reference ID format is not supported.","Merchant reference ID format is not supported."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account."
"Mobile Payment (made via a mobile phone)","Mobile Payment (made via a mobile phone)"
"N/A","Nicht verfügbar"
"N/A. Address not checked, or acquirer had no response. Service not available","Nicht verfügbar - Adresse nicht überprüft, oder der Absender gibt keine Antwort. Service nicht verfügbar"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","International - nicht verfügbar"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","Nicht verfügbar - keine Antwort"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","Nicht verfügbar - für MOTO (Internet/Telefon) Transaktionen"
"N/A. Not processed","Nicht verfügbar - nicht verarbeitet"
"N/A. Retry","Nicht verfügbar - wiederholen"
"N/A. Service not Supported","Nicht verfügbar - Service nicht unterstützt"
"N/A. Service not available","Nicht verfügbar - Service nicht erreichbar"
"N/A. Service not supported","Nicht verfügbar - Service nicht unterstützt"
"N/A. The merchant did not provide AVS information","Nicht verfügbar - der Händler unterstützt keine AVS Information"
"N/A. The merchant has not implemented CVV2 code handling","Nicht verfügbar - der Händler hat CVV2 Code verarbeitung nicht implementiert"
"N/A. Unavailable","Nicht verfügber / Nicht erreichbar"
"Negative Balance","Negative Balance"
"Never","Nie"
"No","Nein"
"No Details matched","Keine Details übereinstimmend"
"No Details matched. International","Keine Details übereinstimmend. International"
"No Liability Shift","Keine Haftungsumkehr"
"No Logo","Kein Logo"
"No match","Keine Anpassung"
"None of the address information matched","None of the address information matched"
"Note: %s","Bemerkung: %s"
"Nothing to fetch because of an empty configuration.","Nothing to fetch because of an empty configuration."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available."
"Notified customer about creditmemo #%s.","Kunde über Gutschrift informiert #%s."
"Notified customer about invoice #%s.","Kunde über Rechnung #%s informiert."
"Now accepting PayPal (150 X 40)","Wir akzeptieren PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Wir akzeptieren PayPal (150 X 60)"
"Open Authorization","Offene Authorisierung"
"Order","Bestellung"
"Order ID","Bestell ID"
"Page Background Color","Hintergrundfarbe der Seite"
"Page Style","Seiten Gestaltung"
"Part of the address information matched","Part of the address information matched"
"Partner","Partner"
"Password","Passwort"
"Pay Now","Jetzt bezahlen"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Käufer Garantie Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Merkmal existiert nicht."
"PayPal Express Order Review Form","PayPal Express Bestell Übersichts-Formular"
"PayPal Fee Information","PayPal Gebühren Information"
"PayPal Merchant Pages Style","PayPal Händler Seiten Stil"
"PayPal Product Logo","PayPal Artikel Logo"
"PayPal Protection Bonus","PayPal Schutz Bonus"
"PayPal Reference ID","PayPal Referenz-ID"
"PayPal Reference ID Type","PayPal Referenz-ID Art"
"PayPal Settlement Reports","PayPal Abrechnungen"
"PayPal certificate does not exist.","PayPal Zertifikat existiert nicht."
"PayPal certificate file is empty.","PayPal Zertifikatsdatei ist leer."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process."
"PayPal gateway has rejected request. %s","PayPal gateway has rejected request. %s"
"PayPal processes all of your orders, and you get paid.","PayPal wickelt alle Ihre Bestellungen ab und Sie werden bezahlt."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indikator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Zahler Authentifizierungs-Dienst Ergebnis"
"Payer Address ID","Bezahler Adress ID"
"Payer Address Status","Bezahler Adress Status"
"Payer Email","Bezahler E-Mail"
"Payer Email: %s","Bezahler E-Mail: %s"
"Payer ID","Bezahler ID"
"Payer Status","Bezahler Status"
"Payer is not identified.","Bezahler ist nicht identifiziert."
"Payflow Link (for USA and Canada)","Payflow Link (für USA and Canada)"
"Payflow Link Settings","Payflow Link Einstellungen"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Einstellungen"
"Payment Action","Zahlungs-Aktion"
"Payment Applicable From","Zutreffende Zahlung ab"
"Payment Method","Zahlungsmethode"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Payment has been declined. Please try again.","Payment has been declined. Please try again."
"Payments by PayPal (150 X 40)","Zahlungen per PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Zahlungen per PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style="color:red">Contact PayPal before activating</strong>","Payments by cards + seller protection - <strong style="color:red">Contact PayPal before activating</strong>"
"Paypal Billing Agreement Settings","Einstellungen für Paypal Bestellbedingungen"
"Pending PayPal","PayPal ausstehend"
"Place Order","Bestellung abschließen"
"Please do not refresh the page until you complete payment.","Bitte nicht die Seite neu laden bevor die Zahlung abgeschlossen wurde."
"Please select a shipping method...","Bitte wählen Sie eine Versandart..."
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Preapproved Payment (BillUser API), either sent or received"
"Preapproved Payment ID","Preapproved Payment ID"
"Price","Preis"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Wickeln Sie Kreditkartenzahlung direkt auf Ihrer Website mit PayPal's all-in-one Zahlungsverarbeitungs-Lösung."
"Product Name","Artikelname"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Menge"
"Quick set-up service lets your customers securely complete transactions.","Quick set-up service lets your customers securely complete transactions."
"Reauthorization","Reauthorization"
"Reference Information","Reference Information"
"Refund issued by merchant.","Refund issued by merchant."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Bericht Datum"
"Reports","Reports"
"Require CVV Entry","Require CVV Entry"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","Bestellübersicht"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP Zugangsdaten"
"Sale","Verkauf"
"Sales","Sales"
"Sandbox Credentials","Sandbox Credentials"
"Sandbox Mode","Sandbox Modus"
"Schedule","Schedule"
"Schedule description is too long.","Schedule description is too long."
"Scheduled Fetching","Scheduled Fetching"
"Select a PayPal Solution","Wählen Sie eine PayPal Lösung"
"Settlement Consolidation","Abwicklungs-Konsolidierung"
"Settlement Report Settings","Abwicklungsbericht Einstellungen"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","3D Sichere Karten-Überprüfung (Streng)"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping","Versand"
"Shipping Address","Versandadresse"
"Shipping Information","Versandinformation"
"Shipping Method","Versandart"
"Shop now using (150 X 40)","Shop verwendet jetzt (150 X 40)"
"Shop now using (150 X 60)","Shop verwendet jetzt (150 X 60)"
"Shortcut","Shortcut"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Shortcut on Product View"
"Shortcut on Shopping Cart","Shortcut on Shopping Cart"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Entschuldigung, momentan gibt es keine Angebote für diese Bestellung."
"Sort Order","Reihenfolge"
"Static","Statisch"
"Submitting order information...","Bestellung wird übermittelt..."
"Subscriber name is too long.","Subscriber name is too long."
"Subscription ID","Subscription ID"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"Subtotal","Zwischensumme"
"Summary Text for Aggregated Cart","Summary Text for Aggregated Cart"
"Supporting of American Express cards require additional agreement. Learn more at <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>.","Unterstützung von American Express Karten erfordert eine ergänzende Bedingung. Erfahren Sie mehr bei <a href="http://www.paypal.com/amexupdate">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Test Mode","Test Mode"
"The background color for the checkout page around the header and payment form.","Die Hintergrundfarbe für die Checkout Seite rund um den Kopfbreich und dem Zahlungsformular."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style="color:red">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style="color:red">https</strong> is highly encouraged."
"The merchant account is not yet verified.","Das Händlerkonto ist noch nicht verifiziert."
"The payment curency does not match any of the merchant\'s balances currency.","The payment curency does not match any of the merchant\'s balances currency."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"There was an error processing your order. Please contact us or try again later.","Bei der Verarbeitung Ihrer Bestellung ist ein Fehler aufgetreten. Kontaktieren Sie uns oder probieren Sie es bitte später erneut."
"Time of Day","Tageszeit"
"Title","Title"
"Transaction ID","Transaktions-ID"
"Transaction Information","Transaktions-Information"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Unable to cancel Express Checkout.","Unable to cancel Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Unable to change status. Current status is not correspond to real status."
"Unable to communicate with the PayPal gateway.","Unable to communicate with the PayPal gateway."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to initialize Express Checkout.","Unable to initialize Express Checkout."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update shipping method.","Unable to update shipping method."
"Unknown reason. Please contact PayPal customer service.","Unknown reason. Please contact PayPal customer service."
"Update Shipping Method","Versandmethode aktualisieren"
"Use Proxy","Proxy verwenden"
"Use colon to specify port. For example: "test.example.com:5224".","Use colon to specify port. For example: "test.example.com:5224"."
"User","User"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Uses store frontend name by default.","Uses store frontend name by default."
"Vendor","Kreditor / Lieferant"
"View","Ansicht"
"View Demo","Demo ansehen"
"View PayPal solutions.","PayPal-Lösungen ansehen."
"View Transaction","View Transaction"
"View Transaction Details","View Transaction Details"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Void"
"We prefer PayPal (150 X 40)","Wir empfehlen PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Wir empfehlen PayPal (150 X 60)"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) Einstellungen"
"Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))","Website Payments Pro Hosted Solution (Website Payments Plus (JP) - Integral Evolution (FR) - PayPal Pro (IT) - Pasarela integral (ES))"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Hosted Solution Settings"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (enthällt Express Checkout)"
"Website Payments Pro Settings","Website Payments Pro Einstellungen"
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","Website Payments Standard Payment"
"Website Payments Standard Settings","Website Payments Standard Einstellungen"
"What is PayPal?","Was ist PayPal?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"WorldLink Withdrawal","WorldLink Withdrawal"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"Yes","Ja"
"Yes. Matched Address and five-didgit ZIP","Yes. Matched Address and five-didgit ZIP"
"You will be redirected to the PayPal website in a few seconds.","Sie werden in wenigen Sekunden zu PayPal weitergeleitet."
"You will be redirected to the PayPal website when you place an order.","Sie werden zur PayPal Webseite weitergeleitet wenn Sie die Bestellung abschließen."
"You will be redirected to the PayPal website.","Sie werden zur PayPal Webseite umgeleitet."
"You will be required to enter your payment details after you place an order.","You will be required to enter your payment details after you place an order."
"eBay Auction Payment","eBay Auktionszahlung"
"Debit or Credit Card","Lastschrift oder Kreditkarte"
"Debug Flag","Debug Flagge"
"Does not work if there are more than 10 shipping options available.","Does not work if there are more than 10 shipping options available."
"Express Checkout and Order have been cancelled.","Express Checkout und Bestellung wurde storniert."
"Express Checkout has been cancelled.","Express Checkout wurde storniert."
"Merchant has indicated that CVV2 is not present on card","Der Händler hat festgestellt das CVV2 nicht auf der Karte verfügbar ist"
"None of the address information matched.","Keine der Adress-Informationen stimmen überein."
"Part of the address information matched.","Ein Teil der Adress-Daten stimmt überein."
"PayPal IPN postback Validation error: %s","PayPal IPN postback Validation error: %s"
"PayPal geteway rejected request. %s","PayPal geteway Ablehnungs Anfrage. %s"
"Place an Order","Bestellung abschließen"
"Sandbox Flag","Sandbox Flagge"
"Sort order","Reihenfolge"
"Unable to calculate cart line item totals.","Unable to calculate cart line item totals."
"Unable to communicate with PayPal gateway.","Unable to communicate with PayPal gateway."
