"N/A","Nicht verfügbar"
"Name","Name"
"New","Neu"
"New Billing Agreement","Neue Verkaufsbedingung"
"New Credit Memo","Neue Gutschrift"
"New Credit Memo for Guest","Neue Gutschrift für Gäste"
"New Invoice","Neue Rechnung"
"New Invoice and Shipment for Order #%s","Neue Rechnung und Versand für Bestellung #%s"
"New Invoice for Guest","Neue Rechnung für Gäste"
"New Invoice for Order #%s","Neue Rechnung zur Bestellung #%s"
"New Order","Neue Bestellung"
"New Order Confirmation Email Sender","E-Mail Absender für eine<br />neue Bestellbestätiging"
"New Order Confirmation Template","Vorlage für eine neue Bestellbestätigung"
"New Order Confirmation Template for Guest","Vorlage für eine neue Bestellbestätigung "als Gast""
"New Order RSS","RSS für neue Bestellungen"
"New Order Status","Neuer Bestell-Status"
"New Order for Guest","Neue Bestellung für Gäste"
"New Shipment","Neuer Versand"
"New Shipment for Guest","Neuer Versand für Gäste"
"New Shipment for Order #%s","Neuer Versand für Bestellung #%s"
"Newsletter Subscription","Newsletter Abonnement"
"No","Nein"
"No Items","Keine Artikel"
"No Items To Refund","Keine Artikel zur Erstattung vorhanden"
"No Payment Methods","Keine Bezahlarten"
"No detail for number "%s"","Keine Details für Nummer "%s""
"No information available.","Keine Informationen verfügbar."
"No items","Keine Artikel"
"No order(s) were put on hold.","No order(s) were put on hold."
"No order(s) were released from holding status.","No order(s) were released from holding status."
"No ordered items","Keine bestellten Artikel"
"No shipping information available","Keine Versandinformationen verfügbar"
"No valid transaction found for this payment review.","No valid transaction found for this payment review."
"Nominal Items","Nominale Artikel"
"Nominal item can be purchased standalone only. To proceed please remove other items from the quote.","Nominaler Artikel kann nur einzeln bestellt werden. Um fortzusetzen, entfernen Sie bitte andere Artikel der Bestellung."
"Nominal order registered.","Nominal order registered."
"Not Capture","Nicht erfasst"
"Not Initialized","Nicht initialisiert"
"Not Notified","Nicht benachrichtigt"
"Not enough valid data to save the parent transaction ID.","Not enough valid data to save the parent transaction ID."
"Notification Not Applicable","Hinweis nicht verfügbar"
"Notified","Benachrichtigt"
"Notify Customer by Email","Kunden per E-Mail informieren"
"Number","Nummer"
"Number of Invoiced Orders","Anzahl der in Rechnung gestellten Bestellungen"
"Number of Orders","Anzahl der Bestellungen"
"Number of Refunded Orders","Anzahl erstatteter Bestellungen"
"Offline Refunded","Offline Erstattet"
"On Hold","Zurückgestellt"
"Online Refunded","Online Erstattet"
"Order","Bestellung"
"Order #","Bestellung #"
"Order # ","Bestellung # "
"Order # %s","Bestellung # %s"
"Order # %s %s | %s","Bestellung # %s %s | %s"
"Order #%s","Bestellung #%s"
"Order #%s - %s","Bestellung #%s - %s"
"Order API","Bestell-API"
"Order Address Information","Bestell-Adress Information"
"Order Comment","Bestellkommentar"
"Order Comment Email Sender","Bestellkommentar E-Mail-Absender"
"Order Comment Email Template","Bestellkommentar E-Mail-Vorlage"
"Order Comment Email Template for Guest","Bestellkommentar E-Mail-Vorlage für Gäste"
"Order Comments","Bestellkommentare"
"Order Credit Memos","Bestellgutschrift"
"Order Currency:","Währung der Bestellung:"
"Order Date","Bestelldatum"
"Order Date (%s)","Bestelldatum (%s)"
"Order Date: ","Bestelldatum:"
"Order Date: %s","Bestelldatum: %s"
"Order Details","Bestelldetails"
"Order Grand Total","Bestellung Gesamtbetrag"
"Order History","Bestellverlauf"
"Order History Info","Info zum Bestellverlauf"
"Order ID","Bestellung ID"
"Order Information","Bestellinformationen"
"Order Invoices","Bestellung Rechnungen"
"Order Shipments","Bestellung Versand"
"Order State","Bestell Zustand"
"Order Status","Bestell-Status"
"Order Status Information","Bestellstatus Information"
"Order Statuses","Bestell Status &amp; Zustand"
"Order Subtotal","Bestellung Zwischensumme"
"Order Taxes Report Grouped by Tax Rates","Bestell-Steuer Bericht gruppiert nach Steuersätzen"
"Order Total","Bestellsumme"
"Order Totals","Bestellsummen"
"Order Update","Bestellaktualisierung"
"Order Update for Guest","Bestellaktualisierung für Gäste"
"Order View","Bestellansicht"
"Order does not allow to be canceled.","Es ist nicht gestattet diese Bestellung zu stornieren."
"Order invoice","Bestellung Rechnung"
"Order is suspended as its capture amount %s is suspected to be fraudulent.","Order is suspended as its capture amount %s is suspected to be fraudulent."
"Order object is not specified.","Bestellobjekt ist nicht näher bestimmt."
"Order saving error: %s","Fehler beim Speichern der Bestellung: %s"
"Order shipments","Bestellung Versand"
"Order status does not exist.","Bestell-Status existiert nicht."
"Order status with the same status code already exist.","Bestell-Status mit dem selben Status Code existiert bereits."
"Order was placed using %s","Bestellung wurde abgegeben mittels %s"
"Ordered","Bestellt"
"Ordered amount of %s.","Ordered amount of %s."
"Ordering amount of %s is pending approval on gateway.","Ordering amount of %s is pending approval on gateway."
"Orders","Bestellungen"
"Original Price","Originalpreis"
"Original order item that recurring payment profile correspondss to.","Original order item that recurring payment profile correspondss to."
"PDF Credit Memos","PDF Gutschriften"
"PDF Invoices","PDF Rechnungen"
"PDF Packingslips","PDF Packzettel"
"PDF Print-outs","PDF Ausdrucke"
"PDF object is not specified.","PDF-Objekt ist nicht näher bestimmt."
"PDF page object is not specified.","PDF-Seitenobjekt ist nicht näher bestimmt."
"PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default","PDF total model should extend Mage_Sales_Model_Order_Pdf_Total_Default"
"Packingslip # ","Packzettel Nr."
"Paid","Bezahlt"
"Paid Amount","Einzahlungsbetrag"
"Parent Transaction ID","Parent Transaction ID"
"Parent transaction ID must have a transaction ID.","Ursprüngliche Transaktions-ID muss eine Transaktions-ID besitzen."
"Partial","teilweise"
"Payment Failed","Zahlung fehlgeschlagen"
"Payment Information","Zahlungsinformation"
"Payment Method","Zahlart"
"Payment Method Name","Name der Zahlart"
"Payment Method:","Zahlart:"
"Payment Review","Payment Review"
"Payment disallow storing objects.","Zahlung erlaubt nicht Objekte zu speichern."
"Payment transactions disallow storing objects.","Zahlungs-Transaktionen erlauben nicht die Speicherung von Objekten."
"Payment type","Zahlungsart"
"Payment update has been made.","Zahlungs-Aktualisierung wurde vollzogen."
"Pending","Ausstehend"
"Pending Payment","Ausstehende Zahlung"
"Period","Zeitraum"
"Place Order Using Billing Agreements","Bestellung abschließen ubnd Verkaufsbedingungen verwenden"
"Placed from IP","von IP"
"Please Select Products to Add","Bitte wählen Sie Artikel zum hinzufügen"
"Please Select a Customer","Bitte wählen Sie einen Kunden"
"Please Select a Store","Bitte wählen Sie einen Store"
"Please define PDF object before using.","Please define PDF object before using."
"Please enter positive number in this field.","Bitte geben Sie hier eine positive Zahl ein."
"Please specify a valid grid column alias name that exists in grid table.","Please specify a valid grid column alias name that exists in grid table."
"Price","Preis"
"Print","Drucken"
"Print All","Alle drucken"
"Print All Invoices","Alle Rechnungen drucken"
"Print All Refunds","Alle Erstattungen drucken"
"Print All Shipments","Alle Versandinformationen drucken"
"Print Credit Memos","Alle Gutschriften drucken"
"Print Invoice","Rechnung drucken"
"Print Invoices","Rechnungen drucken"
"Print Order","Bestellung drucken"
"Print Order # %s","Bestellung Nummer %s drucken"
"Print Packingslips","Packzettel drucken"
"Print Refund","Erstattung drucken"
"Print Shipment","Versandinformationen drucken"
"Processing","Verarbeitung"
"Product","Artikel"
"Product Name","Artikelname"
"Products","Artikel"
"Products Bestsellers Report","Artikel Bestseller Bericht"
"Products in Comparison List","Artikel in Vergleichsliste"
"Profile #%s","Profil #%s"
"Profile Information","Profil Information"
"Profile State","Profil Zustand"
"Profit","Gewinn"
"Promotion Coupons Usage Report","Verwendungsbericht - Rabattcodes"
"Proper payment object must be set.","Proper payment object must be set."
"Purchased From","Bestellt in"
"Purchased From (Store)","Bestellt in (Store)"
"Purchased Item","Bestellte Artikel"
"Purchased On","Bestellt am"
"Qty","Menge"
"Qty Invoiced","Berechnete Menge"
"Qty Ordered","Bestellte Menge"
"Qty Shipped","Versandte Menge"
"Qty To Add","Hinzuzufügende Menge"
"Qty to Add","Menge zum hinzufügen"
"Qty to Invoice","Zu berechnende Menge"
"Qty to Refund","Menge zur Erstattung"
"Qty to Ship","Menge zum Versand"
"Quantity Ordered","Menge bestellt"
"Quote item id is not received.","Quote item id is not received."
"Quote item is not loaded.","Quote item is not loaded."
"Rate","Einstufen"
"Recent Orders","Letzte Bestellungen"
"Recently Compared Products","Zuletzt verglichene Artikel"
"Recently Viewed","Zuletzt angesehen"
"Recently Viewed Products","Zuletzt angesehene Artikel"
"Recurring Profile # %s","Widerkehrendes Profil # %s"
"Recurring Profile Initial Fee","Einrichtungsgebühr für Wiederkehrendes Profil"
"Recurring Profiles","Wiederkehrende Profile"
"Recurring Profiles (beta)","Wiederkehrende Profile (beta)"
"Reference ID","Referenz ID"
"Reference ID:","Referenz ID:"
"Refresh","Aktualisieren"
"Refund","Erstatten"
"Refund #","Erstattung Nr."
"Refund #%s","Erstattung Nr. %s"
"Refund Amount","Erstattungsbetrag"
"Refund Offline","Erstattung (offline)"
"Refund Shipping","Versandkosten erstatten"
"Refund Shipping (Excl. Tax)","Versandkosten erstatten (Exkl. Steuern)"
"Refund Shipping (Incl. Tax)","Versandkosten erstatten (Inkl. Steuern)"
"Refund Totals","Erstattungen (Summe)"
"Refunded","Erstattet"
"Refunded amount of %s offline.","Erstatteter Betrag von %s offline."
"Refunded amount of %s online.","Erstatteter Betrag von %s online."
"Refunds","Erstattungen"
"Registered a Void notification.","Registered a Void notification."
"Registered notification about approved payment.","Registered notification about approved payment."
"Registered notification about authorized amount of %s.","Registered notification about authorized amount of %s."
"Registered notification about captured amount of %s.","Registered notification about captured amount of %s."
"Registered notification about denied payment.","Registered notification about denied payment."
"Registered notification about refunded amount of %s.","Registered notification about refunded amount of %s."
"Registered update about approved payment.","Registrierte Aktualisierung über genehmigte Zahlung."
"Registered update about denied payment.","Registered update about denied payment."
"Regular Payment","Reguläre Zahlung"
"Related Orders","Ähnliche Bestellungen"
"Remove","Entfernen"
"Remove Coupon Code","Rabattcode entfernen"
"Remove tracking number","Trackingnummer löschen"
"Reorder","Nachbestellen"
"Retrieve invoice info","Rechnungsinformationen abfragen"
"Retrieve invoice information","Rechnungsinformationen abfragen"
"Retrieve list of invoices by filters","Rechnungsliste gemäß Filter abfragen"
"Retrieve list of orders by filters","Bestellliste gemäß Filter abfragen"
"Retrieve list of shipments by filters","Versandliste gemäß Filter abfragen"
"Retrieve order information","Bestellinformationen abfragen"
"Retrieve orders info","Bestellinformationen abfragen"
"Retrieve shipment info","Versandinformationen abfragen"
"Retrieve shipment information","Versandinformationen abfragen"
"Return to Stock","Zurück ins Lager"
"Returned","Zurückgeschickt"
"Revenue","Ertrag / Einnahme"
"Row Subtotal","Zeilen-Zwischensumme"
"Row Total","Zeilensumme"
"SHIP TO:","VERSAND AN:"
"SKU","Artikelnummer"
"SOLD TO:","VERKAUFT AN:"
"Sales","Verkäufe"
"Sales Discount","Rabatt"
"Sales Emails","Verkaufs-E-Mails"
"Sales Emails Section","Verkausmails"
"Sales Invoice Print View","Verkaufsrechnung Druckansicht"
"Sales Items","Verkaufte Artikel"
"Sales Order Print View","Bestellung Druckansicht"
"Sales Section","Verkauf"
"Sales Shipment Print View","Versand Druckansicht"
"Sales Shipping","Versand"
"Sales Tax","Steuer"
"Sales Total","Gesamt"
