"%s %s cycle.","%s %s Zeitraum."
"--Please Select--","--Bitte wählen--"
"Issue Number","Vorgangsnummer"
"Make Check Payable to","Scheck ausstellen auf"
"Make Check payable to:","Scheck ausstellen auf:"
"Make Check payable to: %s","Scheck ausstellen auf: %s"
"Maximum Billing Cycles","Maximale Abrechnungszeiträume"
"Maximum Order Total","Höchstwert für Gesamtbestellung"
"Maximum Payment Failures","Maximale Zahlungsfehler"
"Maximum Trial Billing Cycles","Maximale Versuche Zahlungszeiträume"
"Merchant ID","Verkäufer ID"
"Minimum Order Total","Mindestwert für Gesamtbestellung"
"Month","Monat"
"N/A","Keine Angabe"
"Name on Card","Karteninhaber"
"Name on the Card","Karteninhaber"
"New Order Status","Neuer Bestell-Status"
"Number of billing periods that make up one billing cycle.","Anzahl der Zahlungszeiträume, die die einen Abrechnungszeitraum bilden."
"Order action is not available.","Bestellen ist leider nicht möglich."
"Overrides API URL that may be specified by a payment method.","Übergeht Zahlart spezifische API URL."
"Password","Passwort"
"Payment Method","Zahlart"
"Payment Methods","Zahlarten"
"Payment Methods Section","Bereich für Zahlarten"
"Payment Reference ID","Referenznummer für Zahlungen"
"Payment Services","Zahlungsdienste"
"Payment from Applicable Countries","Zahlung aus erlaubten Ländern"
"Payment from Specific Countries","Zahlung von bestimmten Ländern"
"Payment method code is not set.","Zahlart Code ist nicht gesetzt."
"Payment method code is undefined.","Zahlart Code ist nicht definiert."
"Payment profile is invalid:\n%s","Zahlungsprofil ist ungültig:\n%s"
"Period frequency is wrong.","Häufigkeit ist falsch"
"Please enter a valid credit card verification number.","Bitte tragen Sie eine gültige Kreditkarten-Prüfnummer ein."
"Processor ID","Verarbeiter ID"
"Purchase Order","Abruf aus Auftrag"
"Purchase Order Number","Auftragsnummer"
"Purchase Order Number:","Auftragsnummer"
"Purchase Order Number: %s","Auftragsnummer: %s"
"Recurring Profile Start Date","Startdatum für wiederkehrendes Profil"
"Recurring profile start date has invalid format.","Startdatum für wiederkehrendes Profil hat ein ungültiges Format."
"Reference ID is not set.","Referenznummer ist nicht gesetzt."
"Refund action is not available.","Erstatten ist leider nicht möglich."
"Repeats %s time(s).","Anzahl Wiederholungen %s."
"Repeats until suspended or canceled.","Wiederholungen verschieben oder stornieren."
"Request Card Security Code","Anfrage Karten-Sicherheitscode"
"Saved CC","Kreditkarten Zahlung (Datenspeicherung)"
"Schedule Description","Beschreibung festlegen"
"Schedule description must be not empty.","Festgelegte Beschreibung darf nicht leer sein."
"Selected payment type is not allowed for billing country.","Die gewählte Zahlart ist für das Land der Rechnungsadresse nicht zugelassen."
"Send Check to","Scheck senden an"
"Send Check to:","Scheck senden an:"
"Severe 3D Secure Card Validation","3D Sichere Karten-Überprüfung (Streng)"
"Severe validation removes chargeback liability on merchant.","Strenge Prüfung befreit den Händler von seiner Haftung."
"Shipping Amount","Versandbetrag"
"Short description of the recurring payment. By default equals to the product name.","Kurzbeschreibung der wiederkehrenden Zahlung. Standardmäßig der Artikelname"
"Sort Order","Reihenfolge"
"Start Date","Start"
"Start date has invalid format.","Start Datum hat ein ungültiges Format."
"Start date is undefined.","Start Datum ist undefiniert."
"Subscriber Name","Anmelder Name"
"Switch/Solo/Maestro Issue Number","Switch/Solo/Maestro Verwendungs-Nummer"
"Switch/Solo/Maestro Only","Nur Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Switch/Solo/Maestro Karten Start-Datum"
"Tax Amount","Steuerbetrag"
"Test Mode","Test Modus"
"The date when billing for the profile begins.","Das Datum an dem die Zahlung für das Profil beginnt."
"The number of billing cycles for payment period.","Anzahl der Abrechnungshäufigkeit für die Zahlungs-Periode."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Die Anzahl fehlgeschlagener Zahlungen, bevor diese Zahlungsvereinbarung automatisch ausgesetzt wird."
"The payment review action is unavailable.","Die Zahlungsbewertungsaktion ist nicht verfügbar."
"The requested Payment Method is not available.","Die angeforderte Zahlart ist nicht verfügbar."
"Title","Titel"
"Trial Billing Amount","Rechnungsbetrag des Testkaufs."
"Trial Billing Frequency","Häufigkeit des Testkaufs"
"Trial Billing Period Unit","Einheit des Abrechnungszeitraums des Testkaufs"
"Trial Period","Test Zeitraum"
"Trial billing amount is wrong.","Rechnungsbetrag des Testkaufs ist falsch."
"Trial billing period unit is wrong.","Einheit des Testzeitraums ist falsch."
"Trial period frequency is wrong.","Häufigkeit des Testkaufs ist falsch"
"Trial period max cycles is wrong.","Angabe der maximale Wiederholungen des Testzeitraums ist falsch."
"Two Weeks","2 Wochen"
"Unable to save Billing Agreement:","Zahlungsvereinbarung konnte nicht gespeichert werden:"
"Unit for billing during the subscription period.","Einheit der Zahlungen während der Laufzeit."
"Unsupported currency code: %s.","Nicht unterstütztes Währungskürzel: %s."
"Void action is not available.","Stornieren ist nicht möglich."
"Week","Woche"
"What is this?","Was ist das?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Soll das Zahlungsprofil gestoppt werden, wenn die Einrichtungsgebühr nicht bezahlt wurde oder soll dieser Betrag zu Lasten des Kundenkontos gebucht werden?"
"Wrong %s specified.","%s ist falsch."
"Wrong or empty billing amount specified.","Falscher oder leerer Rechnungsbetrag angegeben."
"Year","Jahr"
"Zero Subtotal Checkout","Bezahlvorgang bei 0,&mdash; Gesamtsumme"
